id,object,task_id,annonce_id,agency_id,agency_page,agency_contact_name,agency_img_url,agency_phone_number,agency_has_email,agency_link,address,area,bedrooms_count,business_unit,coownership_annual_charges,coownership_number_of_lots,coownership_is_syndic_procedure,contact_is_private_seller,contact_email,description,district,dpe,estate_type,electricity_consumption,estate_type_id,ges,gas_emissions,highlighting_level,insee_code,is_furnished,is_exclusive,is_expired,monthly_price,nature,postal_code,picture_count,price,price_per_meter,price_decrease_percent,publication_id,rooms,short_description,transaction_type,tags,url,virtual_visit_url,collected_at,input_url,sold,selling_time,old_price
5830291,result,52,220393829,308701,https://www.siteweb.com/professionnels/agents-commerciaux/ville/agence-33779/,agence-33779,https://v.siteweb.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,10 10 10 10 10,t,https://,Ville,20,0,1,,,,f,t,,3,E,2,,1,B,,1,,f,f,f,621,1,10000,3,103000,5500,,30308701,2,xxxxxxxxx,2,"2 pieces, 1 chambre, 20 m2, etage 3/0, ascenseur",https://www.siteweb.com/annonces/achat/2/ville/3/220393829.htm,,2024-06-29 14:07:02.221603,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,110000
5928271,result,49195394,224562683,531006,https://www.siteweb.com/professionnels/agences-immobilieres/ville/agence-131251/,agence-131251,,10 10 10 10 10,t,https://,Ville,23.001725129384702,0,1,,,,f,t,,1,F,1,,1,C,,1,,f,f,f,677,1,10000,5,120000,5217,,30531006,1,xxxxxxxxx,2,"1 piece, 23 m2, etage 3/–",https://www.siteweb.com/annonces/achat/2/ville/1/224562683.htm,,2024-07-23 10:22:47.828507,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5928276,result,49195394,224372111,308701,https://www.siteweb.com/professionnels/agents-commerciaux/ville/agence-33779/,agence-33779,https://v.siteweb.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,10 10 10 10 10,t,https://,Ville,31.001984126984127,0,1,,,,f,t,,3,F,2,,1,F,,1,,f,f,f,704,1,10000,6,125000,4032,,30308701,2,xxxxxxxxx,2,"2 pieces, 1 chambre, 31 m2, etage 0/0",https://www.siteweb.com/annonces/achat/2/ville/3/224372111.htm,,2024-06-29 14:07:31.920921,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5830290,result,51,220393827,308701,https://www.siteweb.com/professionnels/agents-commerciaux/ville/agence-33779/,agence-33779,https://v.siteweb.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,10 10 10 10 10,t,https://,Ville,30,0,1,,,,f,t,,3,E,2,,1,B,,1,,f,f,f,760,1,10000,4,128000,4500,,30308701,2,xxxxxxxxx,2,"2 pieces, 1 chambre, 30 m2, etage 4/0, ascenseur",https://www.siteweb.com/annonces/achat/2/ville/3/220393827.htm,,2024-06-29 14:07:01.501737,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,135000
5830305,result,73,217344333,308701,https://www.siteweb.com/professionnels/agents-commerciaux/ville/agence-33779/,agence-33779,https://v.siteweb.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,10 10 10 10 10,t,https://,Ville,27.000964320154292,0,1,,,,f,t,,1,E,1,,1,B,,1,,f,t,f,788,1,10000,4,130000,5185,,30308701,1,xxxxxxxxx,2,"1 piece, 27 m2, etage 1/4, balcon, terrasse, parking, ascenseur",https://www.siteweb.com/annonces/achat/2/ville/1/217344333.htm,,2024-06-29 14:07:12.334317,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",y,2 months,140000
5904780,result,15,223639779,75897,https://www.siteweb.com/professionnels/agences-immobilieres/ville/agence-129963/,agence-129963,https://v.siteweb.com/s/width/150/logos/1/b/c/t/1bctbb3tho67n51exo9090awsfvhoxg1o3t5gtr40.jpg,10 10 10 10 10,t,https://,Ville,28.997514498757248,0,1,,,,f,t,,3,C,2,,1,A,,1,,f,t,f,788,1,10000,16,140000,4828,,30075897,2,xxxxxxxxx,2,"2 pieces, 1 chambre, 29 m2, etage 0/1",https://www.siteweb.com/annonces/achat/2/ville/3/223639779.htm,,2024-07-16 09:45:14.788642,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
4745697,result,83,211444275,308701,https://www.siteweb.com/professionnels/agents-commerciaux/ville/agence-33779/,agence-33779,https://v.siteweb.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,10 10 10 10 10,t,https://,Ville,44.00371862410908,0,1,,,,f,t,,1,F,2,,1,C,,1,,f,f,f,799,1,10000,7,142000,3227,,30308701,3,xxxxxxxxx,2,"3 pieces, 2 chambres, 44 m2, etage 1/0",https://www.siteweb.com/annonces/achat/2/ville/1/211444275.htm,,2024-07-16 09:46:23.910569,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",y,1 month,
5830307,result,79,216032375,449870,https://www.siteweb.com/professionnels/agences-immobilieres/ville/agence-7707/,agence-7707,,10 10 10 10 10,t,https://,Ville,29.548989113530325,0,1,,,,f,t,,3,C,1,,1,A,,1,,f,f,f,854,1,10000,8,147000,5144,,30449870,1,xxxxxxxxx,2,"1 piece, 30 m2, etage 1/0, parking",https://www.siteweb.com/annonces/achat/2/ville/216032375.htm,https://tour.previsite.com/8765Fa98-5258-19b6-EE08-b441bC2F3CED,2024-06-29 14:07:27.747104,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,152000
5928270,result,49195394,224567921,531006,https://www.siteweb.com/professionnels/agences-immobilieres/ville/agence-131251/,agence-131251,,10 10 10 10 10,t,https://,Ville,28.99980272243046,0,1,,,,f,t,,2,C,2,,1,A,,1,,f,f,f,826,1,10000,7,147000,5069,,30531006,2,xxxxxxxxx,2,"2 pieces, 1 chambre, 29 m2, etage 1/2",https://www.siteweb.com/annonces/achat/2/ville/2/224567921.htm,,2024-07-23 10:22:47.338447,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5923643,result,49195394,224379559,75897,https://www.siteweb.com/professionnels/agences-immobilieres/ville/agence-129963/,agence-129963,https://v.siteweb.com/s/width/150/logos/1/b/c/t/1bctbb3tho67n51exo9090awsfvhoxg1o3t5gtr40.jpg,10 10 10 10 10,t,https://,Ville,21.998808459934466,0,1,,,,f,t,,1,D,1,,1,B,,2,,f,t,f,830,1,10000,8,147700,6714,,30075897,1,xxxxxxxxx,2,"1 piece, 22 m2, etage 1/3",https://www.siteweb.com/annonces/achat/2/ville/1/224379559.htm,,2024-07-23 10:22:52.493536,"https://www.siteweb.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
